,Abbrev,Long,Category
913,ATS8m,Broto-Moreau autocorrelation of lag 8 (log function) weighted by mass, 2D autocorrelations
914,ATS1v,Broto-Moreau autocorrelation of lag 1 (log function) weighted by van der Waals volume, 2D autocorrelations
915,ATS2v,Broto-Moreau autocorrelation of lag 2 (log function) weighted by van der Waals volume, 2D autocorrelations
916,ATS3v,Broto-Moreau autocorrelation of lag 3 (log function) weighted by van der Waals volume, 2D autocorrelations
917,ATS4v,Broto-Moreau autocorrelation of lag 4 (log function) weighted by van der Waals volume, 2D autocorrelations
918,ATS5v,Broto-Moreau autocorrelation of lag 5 (log function) weighted by van der Waals volume, 2D autocorrelations
919,ATS6v,Broto-Moreau autocorrelation of lag 6 (log function) weighted by van der Waals volume, 2D autocorrelations
920,ATS7v,Broto-Moreau autocorrelation of lag 7 (log function) weighted by van der Waals volume, 2D autocorrelations
921,ATS8v,Broto-Moreau autocorrelation of lag 8 (log function) weighted by van der Waals volume, 2D autocorrelations
922,ATS1e,Broto-Moreau autocorrelation of lag 1 (log function) weighted by Sanderson electronegativity, 2D autocorrelations
923,ATS2e,Broto-Moreau autocorrelation of lag 2 (log function) weighted by Sanderson electronegativity, 2D autocorrelations
924,ATS3e,Broto-Moreau autocorrelation of lag 3 (log function) weighted by Sanderson electronegativity, 2D autocorrelations
925,ATS4e,Broto-Moreau autocorrelation of lag 4 (log function) weighted by Sanderson electronegativity, 2D autocorrelations
926,ATS5e,Broto-Moreau autocorrelation of lag 5 (log function) weighted by Sanderson electronegativity, 2D autocorrelations
927,ATS6e,Broto-Moreau autocorrelation of lag 6 (log function) weighted by Sanderson electronegativity, 2D autocorrelations
928,ATS7e,Broto-Moreau autocorrelation of lag 7 (log function) weighted by Sanderson electronegativity, 2D autocorrelations
929,ATS8e,Broto-Moreau autocorrelation of lag 8 (log function) weighted by Sanderson electronegativity, 2D autocorrelations
930,ATS1p,Broto-Moreau autocorrelation of lag 1 (log function) weighted by polarizability, 2D autocorrelations
931,ATS2p,Broto-Moreau autocorrelation of lag 2 (log function) weighted by polarizability, 2D autocorrelations
932,ATS3p,Broto-Moreau autocorrelation of lag 3 (log function) weighted by polarizability, 2D autocorrelations
933,ATS4p,Broto-Moreau autocorrelation of lag 4 (log function) weighted by polarizability, 2D autocorrelations
934,ATS5p,Broto-Moreau autocorrelation of lag 5 (log function) weighted by polarizability, 2D autocorrelations
935,ATS6p,Broto-Moreau autocorrelation of lag 6 (log function) weighted by polarizability, 2D autocorrelations
936,ATS7p,Broto-Moreau autocorrelation of lag 7 (log function) weighted by polarizability, 2D autocorrelations
937,ATS8p,Broto-Moreau autocorrelation of lag 8 (log function) weighted by polarizability, 2D autocorrelations
938,ATS1i,Broto-Moreau autocorrelation of lag 1 (log function) weighted by ionization potential, 2D autocorrelations
939,ATS2i,Broto-Moreau autocorrelation of lag 2 (log function) weighted by ionization potential, 2D autocorrelations
940,ATS3i,Broto-Moreau autocorrelation of lag 3 (log function) weighted by ionization potential, 2D autocorrelations
941,ATS4i,Broto-Moreau autocorrelation of lag 4 (log function) weighted by ionization potential, 2D autocorrelations
942,ATS5i,Broto-Moreau autocorrelation of lag 5 (log function) weighted by ionization potential, 2D autocorrelations
943,ATS6i,Broto-Moreau autocorrelation of lag 6 (log function) weighted by ionization potential, 2D autocorrelations
944,ATS7i,Broto-Moreau autocorrelation of lag 7 (log function) weighted by ionization potential, 2D autocorrelations
945,ATS8i,Broto-Moreau autocorrelation of lag 8 (log function) weighted by ionization potential, 2D autocorrelations
946,ATS1s,Broto-Moreau autocorrelation of lag 1 (log function) weighted by I-state, 2D autocorrelations
947,ATS2s,Broto-Moreau autocorrelation of lag 2 (log function) weighted by I-state, 2D autocorrelations
948,ATS3s,Broto-Moreau autocorrelation of lag 3 (log function) weighted by I-state, 2D autocorrelations
949,ATS4s,Broto-Moreau autocorrelation of lag 4 (log function) weighted by I-state, 2D autocorrelations
950,ATS5s,Broto-Moreau autocorrelation of lag 5 (log function) weighted by I-state, 2D autocorrelations
951,ATS6s,Broto-Moreau autocorrelation of lag 6 (log function) weighted by I-state, 2D autocorrelations
952,ATS7s,Broto-Moreau autocorrelation of lag 7 (log function) weighted by I-state, 2D autocorrelations
953,ATS8s,Broto-Moreau autocorrelation of lag 8 (log function) weighted by I-state, 2D autocorrelations
954,ATSC1m,Centred Broto-Moreau autocorrelation of lag 1 weighted by mass, 2D autocorrelations
955,ATSC2m,Centred Broto-Moreau autocorrelation of lag 2 weighted by mass, 2D autocorrelations
956,ATSC3m,Centred Broto-Moreau autocorrelation of lag 3 weighted by mass, 2D autocorrelations
957,ATSC4m,Centred Broto-Moreau autocorrelation of lag 4 weighted by mass, 2D autocorrelations
958,ATSC5m,Centred Broto-Moreau autocorrelation of lag 5 weighted by mass, 2D autocorrelations
959,ATSC6m,Centred Broto-Moreau autocorrelation of lag 6 weighted by mass, 2D autocorrelations
960,ATSC7m,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass, 2D autocorrelations
961,ATSC8m,Centred Broto-Moreau autocorrelation of lag 8 weighted by mass, 2D autocorrelations
962,ATSC1v,Centred Broto-Moreau autocorrelation of lag 1 weighted by van der Waals volume, 2D autocorrelations
963,ATSC2v,Centred Broto-Moreau autocorrelation of lag 2 weighted by van der Waals volume, 2D autocorrelations
964,ATSC3v,Centred Broto-Moreau autocorrelation of lag 3 weighted by van der Waals volume, 2D autocorrelations
965,ATSC4v,Centred Broto-Moreau autocorrelation of lag 4 weighted by van der Waals volume, 2D autocorrelations
966,ATSC5v,Centred Broto-Moreau autocorrelation of lag 5 weighted by van der Waals volume, 2D autocorrelations
967,ATSC6v,Centred Broto-Moreau autocorrelation of lag 6 weighted by van der Waals volume, 2D autocorrelations
968,ATSC7v,Centred Broto-Moreau autocorrelation of lag 7 weighted by van der Waals volume, 2D autocorrelations
969,ATSC8v,Centred Broto-Moreau autocorrelation of lag 8 weighted by van der Waals volume, 2D autocorrelations
970,ATSC1e,Centred Broto-Moreau autocorrelation of lag 1 weighted by Sanderson electronegativity, 2D autocorrelations
971,ATSC2e,Centred Broto-Moreau autocorrelation of lag 2 weighted by Sanderson electronegativity, 2D autocorrelations
972,ATSC3e,Centred Broto-Moreau autocorrelation of lag 3 weighted by Sanderson electronegativity, 2D autocorrelations
973,ATSC4e,Centred Broto-Moreau autocorrelation of lag 4 weighted by Sanderson electronegativity, 2D autocorrelations
974,ATSC5e,Centred Broto-Moreau autocorrelation of lag 5 weighted by Sanderson electronegativity, 2D autocorrelations
975,ATSC6e,Centred Broto-Moreau autocorrelation of lag 6 weighted by Sanderson electronegativity, 2D autocorrelations
976,ATSC7e,Centred Broto-Moreau autocorrelation of lag 7 weighted by Sanderson electronegativity, 2D autocorrelations
977,ATSC8e,Centred Broto-Moreau autocorrelation of lag 8 weighted by Sanderson electronegativity, 2D autocorrelations
978,ATSC1p,Centred Broto-Moreau autocorrelation of lag 1 weighted by polarizability, 2D autocorrelations
979,ATSC2p,Centred Broto-Moreau autocorrelation of lag 2 weighted by polarizability, 2D autocorrelations
980,ATSC3p,Centred Broto-Moreau autocorrelation of lag 3 weighted by polarizability, 2D autocorrelations
981,ATSC4p,Centred Broto-Moreau autocorrelation of lag 4 weighted by polarizability, 2D autocorrelations
982,ATSC5p,Centred Broto-Moreau autocorrelation of lag 5 weighted by polarizability, 2D autocorrelations
983,ATSC6p,Centred Broto-Moreau autocorrelation of lag 6 weighted by polarizability, 2D autocorrelations
984,ATSC7p,Centred Broto-Moreau autocorrelation of lag 7 weighted by polarizability, 2D autocorrelations
985,ATSC8p,Centred Broto-Moreau autocorrelation of lag 8 weighted by polarizability, 2D autocorrelations
986,ATSC1i,Centred Broto-Moreau autocorrelation of lag 1 weighted by ionization potential, 2D autocorrelations
987,ATSC2i,Centred Broto-Moreau autocorrelation of lag 2 weighted by ionization potential, 2D autocorrelations
988,ATSC3i,Centred Broto-Moreau autocorrelation of lag 3 weighted by ionization potential, 2D autocorrelations
989,ATSC4i,Centred Broto-Moreau autocorrelation of lag 4 weighted by ionization potential, 2D autocorrelations
990,ATSC5i,Centred Broto-Moreau autocorrelation of lag 5 weighted by ionization potential, 2D autocorrelations
991,ATSC6i,Centred Broto-Moreau autocorrelation of lag 6 weighted by ionization potential, 2D autocorrelations
992,ATSC7i,Centred Broto-Moreau autocorrelation of lag 7 weighted by ionization potential, 2D autocorrelations
993,ATSC8i,Centred Broto-Moreau autocorrelation of lag 8 weighted by ionization potential, 2D autocorrelations
994,ATSC1s,Centred Broto-Moreau autocorrelation of lag 1 weighted by I-state, 2D autocorrelations
995,ATSC2s,Centred Broto-Moreau autocorrelation of lag 2 weighted by I-state, 2D autocorrelations
996,ATSC3s,Centred Broto-Moreau autocorrelation of lag 3 weighted by I-state, 2D autocorrelations
997,ATSC4s,Centred Broto-Moreau autocorrelation of lag 4 weighted by I-state, 2D autocorrelations
998,ATSC5s,Centred Broto-Moreau autocorrelation of lag 5 weighted by I-state, 2D autocorrelations
999,ATSC6s,Centred Broto-Moreau autocorrelation of lag 6 weighted by I-state, 2D autocorrelations
1000,ATSC7s,Centred Broto-Moreau autocorrelation of lag 7 weighted by I-state, 2D autocorrelations
1001,ATSC8s,Centred Broto-Moreau autocorrelation of lag 8 weighted by I-state, 2D autocorrelations
1002,MATS1m,Moran autocorrelation of lag 1 weighted by mass, 2D autocorrelations
1003,MATS2m,Moran autocorrelation of lag 2 weighted by mass, 2D autocorrelations
1004,MATS3m,Moran autocorrelation of lag 3 weighted by mass, 2D autocorrelations
1005,MATS4m,Moran autocorrelation of lag 4 weighted by mass, 2D autocorrelations
1006,MATS5m,Moran autocorrelation of lag 5 weighted by mass, 2D autocorrelations
1007,MATS6m,Moran autocorrelation of lag 6 weighted by mass, 2D autocorrelations
1008,MATS7m,Moran autocorrelation of lag 7 weighted by mass, 2D autocorrelations
1009,MATS8m,Moran autocorrelation of lag 8 weighted by mass, 2D autocorrelations
1010,MATS1v,Moran autocorrelation of lag 1 weighted by van der Waals volume, 2D autocorrelations
1011,MATS2v,Moran autocorrelation of lag 2 weighted by van der Waals volume, 2D autocorrelations
1012,MATS3v,Moran autocorrelation of lag 3 weighted by van der Waals volume, 2D autocorrelations
1013,MATS4v,Moran autocorrelation of lag 4 weighted by van der Waals volume, 2D autocorrelations
1014,MATS5v,Moran autocorrelation of lag 5 weighted by van der Waals volume, 2D autocorrelations
1015,MATS6v,Moran autocorrelation of lag 6 weighted by van der Waals volume, 2D autocorrelations
1016,MATS7v,Moran autocorrelation of lag 7 weighted by van der Waals volume, 2D autocorrelations
1017,MATS8v,Moran autocorrelation of lag 8 weighted by van der Waals volume, 2D autocorrelations
1018,MATS1e,Moran autocorrelation of lag 1 weighted by Sanderson electronegativity, 2D autocorrelations
1019,MATS2e,Moran autocorrelation of lag 2 weighted by Sanderson electronegativity, 2D autocorrelations
1020,MATS3e,Moran autocorrelation of lag 3 weighted by Sanderson electronegativity, 2D autocorrelations
1021,MATS4e,Moran autocorrelation of lag 4 weighted by Sanderson electronegativity, 2D autocorrelations
1022,MATS5e,Moran autocorrelation of lag 5 weighted by Sanderson electronegativity, 2D autocorrelations
1023,MATS6e,Moran autocorrelation of lag 6 weighted by Sanderson electronegativity, 2D autocorrelations
1024,MATS7e,Moran autocorrelation of lag 7 weighted by Sanderson electronegativity, 2D autocorrelations
1025,MATS8e,Moran autocorrelation of lag 8 weighted by Sanderson electronegativity, 2D autocorrelations
1026,MATS1p,Moran autocorrelation of lag 1 weighted by polarizability, 2D autocorrelations
1027,MATS2p,Moran autocorrelation of lag 2 weighted by polarizability, 2D autocorrelations
1028,MATS3p,Moran autocorrelation of lag 3 weighted by polarizability, 2D autocorrelations
1029,MATS4p,Moran autocorrelation of lag 4 weighted by polarizability, 2D autocorrelations
1030,MATS5p,Moran autocorrelation of lag 5 weighted by polarizability, 2D autocorrelations
1031,MATS6p,Moran autocorrelation of lag 6 weighted by polarizability, 2D autocorrelations
1032,MATS7p,Moran autocorrelation of lag 7 weighted by polarizability, 2D autocorrelations
1033,MATS8p,Moran autocorrelation of lag 8 weighted by polarizability, 2D autocorrelations
1034,MATS1i,Moran autocorrelation of lag 1 weighted by ionization potential, 2D autocorrelations
1035,MATS2i,Moran autocorrelation of lag 2 weighted by ionization potential, 2D autocorrelations
1036,MATS3i,Moran autocorrelation of lag 3 weighted by ionization potential, 2D autocorrelations
1037,MATS4i,Moran autocorrelation of lag 4 weighted by ionization potential, 2D autocorrelations
1038,MATS5i,Moran autocorrelation of lag 5 weighted by ionization potential, 2D autocorrelations
1039,MATS6i,Moran autocorrelation of lag 6 weighted by ionization potential, 2D autocorrelations
1040,MATS7i,Moran autocorrelation of lag 7 weighted by ionization potential, 2D autocorrelations
1041,MATS8i,Moran autocorrelation of lag 8 weighted by ionization potential, 2D autocorrelations
1042,MATS1s,Moran autocorrelation of lag 1 weighted by I-state, 2D autocorrelations
1043,MATS2s,Moran autocorrelation of lag 2 weighted by I-state, 2D autocorrelations
1044,MATS3s,Moran autocorrelation of lag 3 weighted by I-state, 2D autocorrelations
1045,MATS4s,Moran autocorrelation of lag 4 weighted by I-state, 2D autocorrelations
1046,MATS5s,Moran autocorrelation of lag 5 weighted by I-state, 2D autocorrelations
1047,MATS6s,Moran autocorrelation of lag 6 weighted by I-state, 2D autocorrelations
1048,MATS7s,Moran autocorrelation of lag 7 weighted by I-state, 2D autocorrelations
1049,MATS8s,Moran autocorrelation of lag 8 weighted by I-state, 2D autocorrelations
1050,GATS1m,Geary autocorrelation of lag 1 weighted by mass, 2D autocorrelations
1051,GATS2m,Geary autocorrelation of lag 2 weighted by mass, 2D autocorrelations
1052,GATS3m,Geary autocorrelation of lag 3 weighted by mass, 2D autocorrelations
1053,GATS4m,Geary autocorrelation of lag 4 weighted by mass, 2D autocorrelations
1054,GATS5m,Geary autocorrelation of lag 5 weighted by mass, 2D autocorrelations
1055,GATS6m,Geary autocorrelation of lag 6 weighted by mass, 2D autocorrelations
1056,GATS7m,Geary autocorrelation of lag 7 weighted by mass, 2D autocorrelations
1057,GATS8m,Geary autocorrelation of lag 8 weighted by mass, 2D autocorrelations
1058,GATS1v,Geary autocorrelation of lag 1 weighted by van der Waals volume, 2D autocorrelations
1059,GATS2v,Geary autocorrelation of lag 2 weighted by van der Waals volume, 2D autocorrelations
1060,GATS3v,Geary autocorrelation of lag 3 weighted by van der Waals volume, 2D autocorrelations
1061,GATS4v,Geary autocorrelation of lag 4 weighted by van der Waals volume, 2D autocorrelations
1062,GATS5v,Geary autocorrelation of lag 5 weighted by van der Waals volume, 2D autocorrelations
1063,GATS6v,Geary autocorrelation of lag 6 weighted by van der Waals volume, 2D autocorrelations
1064,GATS7v,Geary autocorrelation of lag 7 weighted by van der Waals volume, 2D autocorrelations
1065,GATS8v,Geary autocorrelation of lag 8 weighted by van der Waals volume, 2D autocorrelations
1066,GATS1e,Geary autocorrelation of lag 1 weighted by Sanderson electronegativity, 2D autocorrelations
1067,GATS2e,Geary autocorrelation of lag 2 weighted by Sanderson electronegativity, 2D autocorrelations
1068,GATS3e,Geary autocorrelation of lag 3 weighted by Sanderson electronegativity, 2D autocorrelations
1069,GATS4e,Geary autocorrelation of lag 4 weighted by Sanderson electronegativity, 2D autocorrelations
1070,GATS5e,Geary autocorrelation of lag 5 weighted by Sanderson electronegativity, 2D autocorrelations
1071,GATS6e,Geary autocorrelation of lag 6 weighted by Sanderson electronegativity, 2D autocorrelations
1072,GATS7e,Geary autocorrelation of lag 7 weighted by Sanderson electronegativity, 2D autocorrelations
1073,GATS8e,Geary autocorrelation of lag 8 weighted by Sanderson electronegativity, 2D autocorrelations
1074,GATS1p,Geary autocorrelation of lag 1 weighted by polarizability, 2D autocorrelations
1075,GATS2p,Geary autocorrelation of lag 2 weighted by polarizability, 2D autocorrelations
1076,GATS3p,Geary autocorrelation of lag 3 weighted by polarizability, 2D autocorrelations
1077,GATS4p,Geary autocorrelation of lag 4 weighted by polarizability, 2D autocorrelations
1078,GATS5p,Geary autocorrelation of lag 5 weighted by polarizability, 2D autocorrelations
1079,GATS6p,Geary autocorrelation of lag 6 weighted by polarizability, 2D autocorrelations
1080,GATS7p,Geary autocorrelation of lag 7 weighted by polarizability, 2D autocorrelations
1081,GATS8p,Geary autocorrelation of lag 8 weighted by polarizability, 2D autocorrelations
1082,GATS1i,Geary autocorrelation of lag 1 weighted by ionization potential, 2D autocorrelations
1083,GATS2i,Geary autocorrelation of lag 2 weighted by ionization potential, 2D autocorrelations
1084,GATS3i,Geary autocorrelation of lag 3 weighted by ionization potential, 2D autocorrelations
1085,GATS4i,Geary autocorrelation of lag 4 weighted by ionization potential, 2D autocorrelations
1086,GATS5i,Geary autocorrelation of lag 5 weighted by ionization potential, 2D autocorrelations
1087,GATS6i,Geary autocorrelation of lag 6 weighted by ionization potential, 2D autocorrelations
1088,GATS7i,Geary autocorrelation of lag 7 weighted by ionization potential, 2D autocorrelations
1089,GATS8i,Geary autocorrelation of lag 8 weighted by ionization potential, 2D autocorrelations
1090,GATS1s,Geary autocorrelation of lag 1 weighted by I-state, 2D autocorrelations
1091,GATS2s,Geary autocorrelation of lag 2 weighted by I-state, 2D autocorrelations
1092,GATS3s,Geary autocorrelation of lag 3 weighted by I-state, 2D autocorrelations
1093,GATS4s,Geary autocorrelation of lag 4 weighted by I-state, 2D autocorrelations
1094,GATS5s,Geary autocorrelation of lag 5 weighted by I-state, 2D autocorrelations
1095,GATS6s,Geary autocorrelation of lag 6 weighted by I-state, 2D autocorrelations
1096,GATS7s,Geary autocorrelation of lag 7 weighted by I-state, 2D autocorrelations
1097,GATS8s,Geary autocorrelation of lag 8 weighted by I-state, 2D autocorrelations
1098,GGI1,topological charge index of order 1, 2D autocorrelations
1099,GGI2,topological charge index of order 2, 2D autocorrelations
1100,GGI3,topological charge index of order 3, 2D autocorrelations
1101,GGI4,topological charge index of order 4, 2D autocorrelations
1102,GGI5,topological charge index of order 5, 2D autocorrelations
1103,GGI6,topological charge index of order 6, 2D autocorrelations
1104,GGI7,topological charge index of order 7, 2D autocorrelations
1105,GGI8,topological charge index of order 8, 2D autocorrelations
1106,GGI9,topological charge index of order 9, 2D autocorrelations
1107,GGI10,topological charge index of order 10, 2D autocorrelations
1108,JGI1,mean topological charge index of order 1, 2D autocorrelations
1109,JGI2,mean topological charge index of order 2, 2D autocorrelations
1110,JGI3,mean topological charge index of order 3, 2D autocorrelations
1111,JGI4,mean topological charge index of order 4, 2D autocorrelations
1112,JGI5,mean topological charge index of order 5, 2D autocorrelations
1113,JGI6,mean topological charge index of order 6, 2D autocorrelations
1114,JGI7,mean topological charge index of order 7, 2D autocorrelations
1115,JGI8,mean topological charge index of order 8, 2D autocorrelations
1116,JGI9,mean topological charge index of order 9, 2D autocorrelations
1117,JGI10,mean topological charge index of order 10, 2D autocorrelations
1118,JGT,global topological charge index, 2D autocorrelations
1119,SpMax1_Bh(m),largest eigenvalue n. 1 of Burden matrix weighted by mass, Burden eigenvalues
1120,SpMax2_Bh(m),largest eigenvalue n. 2 of Burden matrix weighted by mass, Burden eigenvalues
1121,SpMax3_Bh(m),largest eigenvalue n. 3 of Burden matrix weighted by mass, Burden eigenvalues
1122,SpMax4_Bh(m),largest eigenvalue n. 4 of Burden matrix weighted by mass, Burden eigenvalues
1123,SpMax5_Bh(m),largest eigenvalue n. 5 of Burden matrix weighted by mass, Burden eigenvalues
1124,SpMax6_Bh(m),largest eigenvalue n. 6 of Burden matrix weighted by mass, Burden eigenvalues
1125,SpMax7_Bh(m),largest eigenvalue n. 7 of Burden matrix weighted by mass, Burden eigenvalues
1126,SpMax8_Bh(m),largest eigenvalue n. 8 of Burden matrix weighted by mass, Burden eigenvalues
1127,SpMax1_Bh(v),largest eigenvalue n. 1 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1128,SpMax2_Bh(v),largest eigenvalue n. 2 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1129,SpMax3_Bh(v),largest eigenvalue n. 3 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1130,SpMax4_Bh(v),largest eigenvalue n. 4 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1131,SpMax5_Bh(v),largest eigenvalue n. 5 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1132,SpMax6_Bh(v),largest eigenvalue n. 6 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1133,SpMax7_Bh(v),largest eigenvalue n. 7 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1134,SpMax8_Bh(v),largest eigenvalue n. 8 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1135,SpMax1_Bh(e),largest eigenvalue n. 1 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1136,SpMax2_Bh(e),largest eigenvalue n. 2 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1137,SpMax3_Bh(e),largest eigenvalue n. 3 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1138,SpMax4_Bh(e),largest eigenvalue n. 4 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1139,SpMax5_Bh(e),largest eigenvalue n. 5 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1140,SpMax6_Bh(e),largest eigenvalue n. 6 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1141,SpMax7_Bh(e),largest eigenvalue n. 7 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1142,SpMax8_Bh(e),largest eigenvalue n. 8 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1143,SpMax1_Bh(p),largest eigenvalue n. 1 of Burden matrix weighted by polarizability, Burden eigenvalues
1144,SpMax2_Bh(p),largest eigenvalue n. 2 of Burden matrix weighted by polarizability, Burden eigenvalues
1145,SpMax3_Bh(p),largest eigenvalue n. 3 of Burden matrix weighted by polarizability, Burden eigenvalues
1146,SpMax4_Bh(p),largest eigenvalue n. 4 of Burden matrix weighted by polarizability, Burden eigenvalues
1147,SpMax5_Bh(p),largest eigenvalue n. 5 of Burden matrix weighted by polarizability, Burden eigenvalues
1148,SpMax6_Bh(p),largest eigenvalue n. 6 of Burden matrix weighted by polarizability, Burden eigenvalues
1149,SpMax7_Bh(p),largest eigenvalue n. 7 of Burden matrix weighted by polarizability, Burden eigenvalues
1150,SpMax8_Bh(p),largest eigenvalue n. 8 of Burden matrix weighted by polarizability, Burden eigenvalues
1151,SpMax1_Bh(i),largest eigenvalue n. 1 of Burden matrix weighted by ionization potential, Burden eigenvalues
1152,SpMax2_Bh(i),largest eigenvalue n. 2 of Burden matrix weighted by ionization potential, Burden eigenvalues
1153,SpMax3_Bh(i),largest eigenvalue n. 3 of Burden matrix weighted by ionization potential, Burden eigenvalues
1154,SpMax4_Bh(i),largest eigenvalue n. 4 of Burden matrix weighted by ionization potential, Burden eigenvalues
1155,SpMax5_Bh(i),largest eigenvalue n. 5 of Burden matrix weighted by ionization potential, Burden eigenvalues
1156,SpMax6_Bh(i),largest eigenvalue n. 6 of Burden matrix weighted by ionization potential, Burden eigenvalues
1157,SpMax7_Bh(i),largest eigenvalue n. 7 of Burden matrix weighted by ionization potential, Burden eigenvalues
1158,SpMax8_Bh(i),largest eigenvalue n. 8 of Burden matrix weighted by ionization potential, Burden eigenvalues
1159,SpMax1_Bh(s),largest eigenvalue n. 1 of Burden matrix weighted by I-state, Burden eigenvalues
1160,SpMax2_Bh(s),largest eigenvalue n. 2 of Burden matrix weighted by I-state, Burden eigenvalues
1161,SpMax3_Bh(s),largest eigenvalue n. 3 of Burden matrix weighted by I-state, Burden eigenvalues
1162,SpMax4_Bh(s),largest eigenvalue n. 4 of Burden matrix weighted by I-state, Burden eigenvalues
1163,SpMax5_Bh(s),largest eigenvalue n. 5 of Burden matrix weighted by I-state, Burden eigenvalues
1164,SpMax6_Bh(s),largest eigenvalue n. 6 of Burden matrix weighted by I-state, Burden eigenvalues
1165,SpMax7_Bh(s),largest eigenvalue n. 7 of Burden matrix weighted by I-state, Burden eigenvalues
1166,SpMax8_Bh(s),largest eigenvalue n. 8 of Burden matrix weighted by I-state, Burden eigenvalues
1167,SpMin1_Bh(m),smallest eigenvalue n. 1 of Burden matrix weighted by mass, Burden eigenvalues
1168,SpMin2_Bh(m),smallest eigenvalue n. 2 of Burden matrix weighted by mass, Burden eigenvalues
1169,SpMin3_Bh(m),smallest eigenvalue n. 3 of Burden matrix weighted by mass, Burden eigenvalues
1170,SpMin4_Bh(m),smallest eigenvalue n. 4 of Burden matrix weighted by mass, Burden eigenvalues
1171,SpMin5_Bh(m),smallest eigenvalue n. 5 of Burden matrix weighted by mass, Burden eigenvalues
1172,SpMin6_Bh(m),smallest eigenvalue n. 6 of Burden matrix weighted by mass, Burden eigenvalues
1173,SpMin7_Bh(m),smallest eigenvalue n. 7 of Burden matrix weighted by mass, Burden eigenvalues
1174,SpMin8_Bh(m),smallest eigenvalue n. 8 of Burden matrix weighted by mass, Burden eigenvalues
1175,SpMin1_Bh(v),smallest eigenvalue n. 1 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1176,SpMin2_Bh(v),smallest eigenvalue n. 2 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1177,SpMin3_Bh(v),smallest eigenvalue n. 3 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1178,SpMin4_Bh(v),smallest eigenvalue n. 4 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1179,SpMin5_Bh(v),smallest eigenvalue n. 5 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1180,SpMin6_Bh(v),smallest eigenvalue n. 6 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1181,SpMin7_Bh(v),smallest eigenvalue n. 7 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1182,SpMin8_Bh(v),smallest eigenvalue n. 8 of Burden matrix weighted by van der Waals volume, Burden eigenvalues
1183,SpMin1_Bh(e),smallest eigenvalue n. 1 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1184,SpMin2_Bh(e),smallest eigenvalue n. 2 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1185,SpMin3_Bh(e),smallest eigenvalue n. 3 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1186,SpMin4_Bh(e),smallest eigenvalue n. 4 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1187,SpMin5_Bh(e),smallest eigenvalue n. 5 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1188,SpMin6_Bh(e),smallest eigenvalue n. 6 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1189,SpMin7_Bh(e),smallest eigenvalue n. 7 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1190,SpMin8_Bh(e),smallest eigenvalue n. 8 of Burden matrix weighted by Sanderson electronegativity, Burden eigenvalues
1191,SpMin1_Bh(p),smallest eigenvalue n. 1 of Burden matrix weighted by polarizability, Burden eigenvalues
1192,SpMin2_Bh(p),smallest eigenvalue n. 2 of Burden matrix weighted by polarizability, Burden eigenvalues
1193,SpMin3_Bh(p),smallest eigenvalue n. 3 of Burden matrix weighted by polarizability, Burden eigenvalues
1194,SpMin4_Bh(p),smallest eigenvalue n. 4 of Burden matrix weighted by polarizability, Burden eigenvalues
1195,SpMin5_Bh(p),smallest eigenvalue n. 5 of Burden matrix weighted by polarizability, Burden eigenvalues
1196,SpMin6_Bh(p),smallest eigenvalue n. 6 of Burden matrix weighted by polarizability, Burden eigenvalues
1197,SpMin7_Bh(p),smallest eigenvalue n. 7 of Burden matrix weighted by polarizability, Burden eigenvalues
1198,SpMin8_Bh(p),smallest eigenvalue n. 8 of Burden matrix weighted by polarizability, Burden eigenvalues
